,user_id
119,0
1044,1
762,2
365,3
440,4
58,5
343,6
677,7
658,8
1182,9
472,10
785,11
886,12
916,13
1385,14
311,15
75,16
1081,17
1300,18
482,19
1331,20
1299,21
1191,22
912,23
661,24
958,25
353,26
83,27
536,28
1332,29
318,30
896,31
451,32
272,33
1266,34
1308,35
412,36
943,37
171,38
314,39
1166,40
287,41
646,42
34,43
822,44
1031,45
73,46
1397,47
420,48
622,49
1131,50
815,51
1267,52
210,53
579,54
960,55
789,56
1252,57
838,58
794,59
1231,60
357,61
4,62
165,63
378,64
1375,65
550,66
336,67
223,68
387,69
113,70
215,71
849,72
1285,73
1263,74
43,75
102,76
1329,77
834,78
266,79
1318,80
541,81
1320,82
1435,83
10,84
552,85
372,86
1151,87
399,88
402,89
1269,90
1197,91
352,92
531,93
161,94
455,95
258,96
333,97
91,98
305,99
1029,100
1085,101
1000,102
262,103
1086,104
977,105
1367,106
41,107
628,108
883,109
443,110
321,111
383,112
114,113
298,114
121,115
9,116
734,117
767,118
1102,119
832,120
49,121
234,122
597,123
1304,124
553,125
313,126
786,127
555,128
934,129
521,130
596,131
1262,132
139,133
1049,134
1352,135
990,136
117,137
1051,138
300,139
186,140
1251,141
1149,142
694,143
345,144
950,145
1168,146
641,147
106,148
800,149
929,150
852,151
1314,152
911,153
1043,154
1062,155
888,156
62,157
537,158
1265,159
947,160
360,161
465,162
859,163
32,164
37,165
363,166
213,167
302,168
492,169
1138,170
858,171
791,172
25,173
71,174
19,175
687,176
953,177
1310,178
809,179
1112,180
1019,181
1075,182
673,183
86,184
529,185
271,186
1025,187
30,188
340,189
1125,190
141,191
669,192
14,193
322,194
733,195
954,196
110,197
547,198
502,199
617,200
910,201
1361,202
316,203
1327,204
294,205
354,206
967,207
534,208
309,209
992,210
445,211
361,212
1148,213
1123,214
380,215
359,216
1225,217
548,218
504,219
645,220
432,221
1379,222
1057,223
11,224
1106,225
1170,226
1163,227
1319,228
1431,229
1,230
1150,231
1342,232
222,233
194,234
926,235
962,236
877,237
33,238
1212,239
247,240
846,241
776,242
872,243
713,244
45,245
270,246
433,247
23,248
1006,249
416,250
1189,251
1280,252
489,253
744,254
469,255
769,256
1173,257
28,258
260,259
1224,260
72,261
633,262
1186,263
827,264
636,265
1094,266
1128,267
726,268
824,269
1377,270
1399,271
200,272
699,273
1140,274
1013,275
515,276
466,277
96,278
560,279
843,280
540,281
675,282
1018,283
665,284
99,285
396,286
991,287
963,288
447,289
283,290
8,291
307,292
605,293
450,294
1278,295
862,296
664,297
1119,298
551,299
792,300
1201,301
284,302
384,303
199,304
159,305
189,306
1372,307
1322,308
297,309
1014,310
944,311
747,312
1008,313
759,314
201,315
1250,316
1158,317
1368,318
67,319
290,320
821,321
1147,322
598,323
1370,324
631,325
1072,326
1235,327
409,328
930,329
1200,330
90,331
1428,332
405,333
737,334
634,335
1290,336
806,337
337,338
453,339
1152,340
273,341
701,342
1357,343
674,344
174,345
901,346
518,347
919,348
401,349
986,350
448,351
1315,352
1050,353
463,354
863,355
188,356
652,357
1215,358
230,359
1413,360
82,361
1046,362
1358,363
257,364
1015,365
810,366
1412,367
1020,368
31,369
670,370
702,371
754,372
1348,373
1328,374
152,375
833,376
1208,377
891,378
1003,379
1272,380
134,381
173,382
137,383
939,384
937,385
957,386
616,387
474,388
965,389
722,390
52,391
281,392
1154,393
115,394
207,395
1021,396
765,397
709,398
710,399
513,400
689,401
1255,402
458,403
1097,404
370,405
842,406
1364,407
1032,408
182,409
635,410
1346,411
1207,412
1001,413
379,414
805,415
18,416
1243,417
1042,418
1447,419
1167,420
187,421
204,422
111,423
519,424
850,425
1360,426
1095,427
80,428
107,429
554,430
1422,431
68,432
575,433
237,434
1303,435
97,436
487,437
982,438
885,439
1257,440
1183,441
604,442
898,443
459,444
1261,445
166,446
683,447
408,448
1337,449
1004,450
922,451
1408,452
209,453
20,454
755,455
211,456
654,457
1220,458
221,459
1437,460
895,461
1277,462
245,463
176,464
825,465
975,466
64,467
1059,468
426,469
918,470
549,471
1179,472
1146,473
520,474
763,475
680,476
241,477
1353,478
1077,479
878,480
35,481
890,482
185,483
538,484
715,485
1381,486
1236,487
1223,488
823,489
1073,490
261,491
477,492
679,493
1174,494
198,495
968,496
1260,497
999,498
1114,499
1038,500
1388,501
398,502
782,503
1070,504
599,505
844,506
480,507
151,508
854,509
1161,510
1386,511
760,512
870,513
997,514
1153,515
1339,516
15,517
682,518
2,519
526,520
1420,521
799,522
1083,523
446,524
1393,525
1369,526
971,527
265,528
1187,529
656,530
685,531
1264,532
327,533
1295,534
894,535
736,536
1226,537
1137,538
706,539
1405,540
1244,541
802,542
1440,543
1349,544
1134,545
1387,546
610,547
1039,548
116,549
1061,550
881,551
1087,552
1124,553
514,554
1274,555
6,556
1178,557
807,558
826,559
104,560
1185,561
1026,562
1066,563
350,564
1256,565
1434,566
756,567
476,568
1241,569
681,570
1416,571
1411,572
587,573
1068,574
1248,575
1436,576
855,577
375,578
1067,579
1126,580
1196,581
1156,582
714,583
308,584
1078,585
1433,586
668,587
1350,588
126,589
232,590
1254,591
818,592
275,593
214,594
1446,595
1343,596
1273,597
1103,598
1145,599
